CMDLINE /Users/landonblakey/.local/share/virtualenvs/xetra-pipeline-L4TlmUQD/bin/python /Users/landonblakey/Courses/ETL_pipelines/xetra-pipeline/xetra/run.py /Users/landonblakey/Courses/ETL_pipelines/xetra-pipeline/configs/xetra_report1_config.yml
MEM 0.273438 1641152799.0880
MEM 15.835938 1641152799.1894
MEM 25.109375 1641152799.2946
MEM 36.976562 1641152799.3998
MEM 39.527344 1641152799.5038
MEM 49.054688 1641152799.6043
MEM 51.031250 1641152799.7046
MEM 52.437500 1641152799.8063
MEM 54.054688 1641152799.9106
MEM 55.746094 1641152800.0160
MEM 57.281250 1641152800.1164
MEM 60.613281 1641152800.2180
MEM 62.121094 1641152800.3185
MEM 65.542969 1641152800.4188
MEM 71.167969 1641152800.5207
MEM 73.445312 1641152800.6217
MEM 75.796875 1641152800.7221
MEM 77.453125 1641152800.8265
MEM 82.367188 1641152800.9314
MEM 84.726562 1641152801.0321
MEM 86.832031 1641152801.1371
MEM 91.679688 1641152801.2397
MEM 97.171875 1641152801.3434
MEM 105.816406 1641152801.4477
MEM 107.406250 1641152801.5515
MEM 107.875000 1641152801.6521
MEM 108.730469 1641152801.7547
MEM 109.621094 1641152801.8571
MEM 109.625000 1641152801.9603
MEM 110.363281 1641152802.0617
MEM 110.363281 1641152802.1656
MEM 110.363281 1641152802.2663
MEM 110.390625 1641152802.3666
MEM 110.402344 1641152802.4670
MEM 110.402344 1641152802.5675
MEM 110.402344 1641152802.6727
MEM 110.496094 1641152802.7770
MEM 110.496094 1641152802.8818
MEM 110.496094 1641152802.9835
MEM 110.496094 1641152803.0873
MEM 110.507812 1641152803.1882
MEM 110.507812 1641152803.2894
MEM 110.507812 1641152803.3941
MEM 110.613281 1641152803.4984
MEM 110.613281 1641152803.5988
MEM 110.679688 1641152803.6998
MEM 110.679688 1641152803.8055
MEM 110.679688 1641152803.9107
MEM 110.726562 1641152804.0126
MEM 110.726562 1641152804.1161
MEM 110.726562 1641152804.2218
FUNC xetra.transformers.xetra_transformer.extract 108.6367 1641152801.7028 110.7617 1641152809.1545 0
MEM 110.742188 1641152804.3264
MEM 110.742188 1641152804.4269
MEM 110.757812 1641152804.5274
MEM 110.757812 1641152804.6307
MEM 110.757812 1641152804.7313
MEM 110.757812 1641152804.8368
MEM 110.757812 1641152804.9371
MEM 110.757812 1641152805.0427
MEM 110.757812 1641152805.1453
MEM 110.761719 1641152805.2471
MEM 110.761719 1641152805.3476
MEM 110.761719 1641152805.4482
MEM 110.765625 1641152805.5495
MEM 110.765625 1641152805.6509
MEM 110.765625 1641152805.7521
MEM 110.765625 1641152805.8534
MEM 110.765625 1641152805.9590
MEM 110.765625 1641152806.0601
MEM 110.765625 1641152806.1655
MEM 110.765625 1641152806.2659
MEM 110.765625 1641152806.3663
MEM 110.765625 1641152806.4672
MEM 110.765625 1641152806.5696
MEM 110.765625 1641152806.6725
MEM 110.765625 1641152806.7765
MEM 110.757812 1641152806.8773
MEM 110.757812 1641152806.9782
MEM 110.757812 1641152807.0784
MEM 110.757812 1641152807.1808
MEM 110.757812 1641152807.2819
MEM 110.757812 1641152807.3859
MEM 110.757812 1641152807.4882
MEM 110.757812 1641152807.5936
MEM 110.757812 1641152807.6941
MEM 110.757812 1641152807.7955
MEM 110.757812 1641152807.8981
MEM 110.761719 1641152807.9991
MEM 110.761719 1641152808.0994
MEM 110.761719 1641152808.2047
MEM 110.761719 1641152808.3093
MEM 110.761719 1641152808.4133
MEM 110.761719 1641152808.5153
MEM 110.761719 1641152808.6204
MEM 110.761719 1641152808.7240
MEM 110.761719 1641152808.8284
MEM 110.761719 1641152808.9287
MEM 110.761719 1641152809.0328
MEM 110.761719 1641152809.1342
MEM 111.160156 1641152809.2367
MEM 111.304688 1641152809.3416
MEM 108.582031 1641152809.4437
